instance_id,pair_id,annotation_order,split,query_item,target_item,query_text,target_text,label_9cls,label_3cls,consistency,soft_label_complementary,soft_label_substitute,soft_label_unrelated,soft_entropy,n_valid_runs,ease_ab,ease_ba,co_review_count,pool_type
7383_0,7383,0,val,1595822941,B085FTKHZ3,"Title: Edgar Rice Burroughs Tarzan: The Jesse Marsh Years Volume 2
Brand: Gaylord Dubois (Author),  Jesse Marsh (Illustrator)
Category: Books
Description: ['[]']","Title: Brentwood Home Crystal Cove Cooling Activated CharcoalMemory Foam Pillow, Adjustable for Better Sleep, Non-Toxic, Made in California, King Size
Brand: Brentwood Home
Category: Amazon Home
Description: ['[""The Crystal Cove Activated Charcoal Pillow is innovatively designed with the latest in sleep technology to promote active recovery, and feature our signature activated charcoal-infused memory foam. To fall asleep, your body experiences a natural decrease in temperature. That\'s why sleep special",8,unrelated,1.0,0.0,0.0,1.0,-0.0,3,0.0,0.0,0,random_negative
7383_1,7383,1,val,B085FTKHZ3,1595822941,"Title: Brentwood Home Crystal Cove Cooling Activated CharcoalMemory Foam Pillow, Adjustable for Better Sleep, Non-Toxic, Made in California, King Size
Brand: Brentwood Home
Category: Amazon Home
Description: ['[""The Crystal Cove Activated Charcoal Pillow is innovatively designed with the latest in sleep technology to promote active recovery, and feature our signature activated charcoal-infused memory foam. To fall asleep, your body experiences a natural decrease in temperature. That\'s why sleep special","Title: Edgar Rice Burroughs Tarzan: The Jesse Marsh Years Volume 2
Brand: Gaylord Dubois (Author),  Jesse Marsh (Illustrator)
Category: Books
Description: ['[]']",8,unrelated,1.0,0.0,0.0,1.0,-0.0,3,0.0,0.0,0,random_negative
5564_0,5564,0,val,B00002N5ZB,B0BXBSWYS7,"Title: Lasko Wind Machine Air Circulator Floor Fan, 3 Speeds, Pivoting Head for Large Spaces, 20"", Gray, 3300
Brand: Lasko
Category: Amazon Home
Description: ['[""With 3 high-performance speeds, rugged design and construction, and energy efficient operation, Lasko\'s Wind Machine® air circulator fan will help keep you cool and comfortable throughout the year. Create a wind chill, circulate air conditioning, bring fresh air in, or dispel stale air and odor","Title: Copco, Green Acadia Travel Mug, 16-Ounce, 1 Count (Pack of 1)
Brand: Copco
Category: Amazon Home
Description: ['[""Copco\'s Acadia reusable travel cup combines function and sleek design and easily replaces paper and Styrofoam coffee cups. Double wall insulation keeps beverages hot or cold. Made from durable, Boa free plastic. The cup comes with a textured, non slip sleeve. A quarter turn lid sealing design h",8,unrelated,1.0,0.0,0.0,1.0,-0.0,3,0.0024685345124453,0.002511759288609,5,same_category_low_corev
5564_1,5564,1,val,B0BXBSWYS7,B00002N5ZB,"Title: Copco, Green Acadia Travel Mug, 16-Ounce, 1 Count (Pack of 1)
Brand: Copco
Category: Amazon Home
Description: ['[""Copco\'s Acadia reusable travel cup combines function and sleek design and easily replaces paper and Styrofoam coffee cups. Double wall insulation keeps beverages hot or cold. Made from durable, Boa free plastic. The cup comes with a textured, non slip sleeve. A quarter turn lid sealing design h","Title: Lasko Wind Machine Air Circulator Floor Fan, 3 Speeds, Pivoting Head for Large Spaces, 20"", Gray, 3300
Brand: Lasko
Category: Amazon Home
Description: ['[""With 3 high-performance speeds, rugged design and construction, and energy efficient operation, Lasko\'s Wind Machine® air circulator fan will help keep you cool and comfortable throughout the year. Create a wind chill, circulate air conditioning, bring fresh air in, or dispel stale air and odor",8,unrelated,1.0,0.0,0.0,1.0,-0.0,3,0.002511759288609,0.0024685345124453,5,same_category_low_corev
6477_0,6477,0,train,B00002N5ZB,B0C3W6FDNV,"Title: Lasko Wind Machine Air Circulator Floor Fan, 3 Speeds, Pivoting Head for Large Spaces, 20"", Gray, 3300
Brand: Lasko
Category: Amazon Home
Description: ['[""With 3 high-performance speeds, rugged design and construction, and energy efficient operation, Lasko\'s Wind Machine® air circulator fan will help keep you cool and comfortable throughout the year. Create a wind chill, circulate air conditioning, bring fresh air in, or dispel stale air and odor","Title: Amazon Basics Slim, Velvet, Non-Slip Suit Clothes Hangers, Navy Blue/Silver - Pack of 100
Brand: Amazon Basics
Category: Amazon Home
Description: [""['An Amazon Brand']""]",8,unrelated,1.0,0.0,0.0,1.0,-0.0,3,0.0004122385871596,0.0003579354670364,13,same_category_low_corev
6477_1,6477,1,train,B0C3W6FDNV,B00002N5ZB,"Title: Amazon Basics Slim, Velvet, Non-Slip Suit Clothes Hangers, Navy Blue/Silver - Pack of 100
Brand: Amazon Basics
Category: Amazon Home
Description: [""['An Amazon Brand']""]","Title: Lasko Wind Machine Air Circulator Floor Fan, 3 Speeds, Pivoting Head for Large Spaces, 20"", Gray, 3300
Brand: Lasko
Category: Amazon Home
Description: ['[""With 3 high-performance speeds, rugged design and construction, and energy efficient operation, Lasko\'s Wind Machine® air circulator fan will help keep you cool and comfortable throughout the year. Create a wind chill, circulate air conditioning, bring fresh air in, or dispel stale air and odor",8,unrelated,1.0,0.0,0.0,1.0,-0.0,3,0.0003579354670364,0.0004122385871596,13,same_category_low_corev
7382_0,7382,0,val,B00004SYBD,B07NBVSGGG,"Title: Meade 495 Autostar for DS Telescope
Brand: MEADE
Category: Camera & Photo
Description: ['[\'Amazon.com\'\n \'The Meade Autostar No. 495 electronic controller is an advanced accessory controller for any Meade DS series telescope. With the optional Meade Autostar computer controller plugged into the control panel of your DS telescope, locating any astronomical object in the sky is as ea","Title: Del Hutson Designs Artisan Haute Wooden Boxed Floating Mantle Shelves (White, 36 Inch / 3 FT)
Brand: Del Hutson Designs
Category: Amazon Home
Description: [""['Beautify your space with these lavish looking shelves by Del Hutson Designs. Meticulously crafted from sturdy natural solid wood, this set is full of natural character and appeal. Providing the perfect stage for your photos, decor, and more, the mantels furnish well in a living room, bedroom, st",8,unrelated,1.0,0.0,0.0,1.0,-0.0,3,0.0,0.0,0,random_negative
7382_1,7382,1,val,B07NBVSGGG,B00004SYBD,"Title: Del Hutson Designs Artisan Haute Wooden Boxed Floating Mantle Shelves (White, 36 Inch / 3 FT)
Brand: Del Hutson Designs
Category: Amazon Home
Description: [""['Beautify your space with these lavish looking shelves by Del Hutson Designs. Meticulously crafted from sturdy natural solid wood, this set is full of natural character and appeal. Providing the perfect stage for your photos, decor, and more, the mantels furnish well in a living room, bedroom, st","Title: Meade 495 Autostar for DS Telescope
Brand: MEADE
Category: Camera & Photo
Description: ['[\'Amazon.com\'\n \'The Meade Autostar No. 495 electronic controller is an advanced accessory controller for any Meade DS series telescope. With the optional Meade Autostar computer controller plugged into the control panel of your DS telescope, locating any astronomical object in the sky is as ea",8,unrelated,1.0,0.0,0.0,1.0,-0.0,3,0.0,0.0,0,random_negative
1427_0,1427,0,val,B00004W4V8,B00004W4V9,"Title: NESCO LM-2-6 Round Plastic Mesh 13 1/2"" Clean-A-Screens, for Dehydrators, (Pack of 2)
Brand: Nesco
Category: Amazon Home
Description: ['[\'Product Description\'\n ""The NESCO LM-2-6 Snackmaster 12-3/4-inch Clean-A-Screens can be inserted into the trays of Nesco American Harvest\'s FD-28JX, FD-35, FD-37, FD-39, FD-40, FD-50, FD-60, FD-61, FD-75A, FD-75PR food dehydrators (not compatible with other brand dehydrators) to prevent foods","Title: NESCO LSS-2-6 Round Clear Plastic 13 1/2"" Fruit Roll Sheets, Food Dehydrators, White
Brand: Nesco
Category: Amazon Home
Description: ['[]']",2,complementary,0.6667,1.0,0.0,0.0,-0.0,3,0.0123993940651416,0.0124187320470809,188,co_purchase
1427_1,1427,1,val,B00004W4V9,B00004W4V8,"Title: NESCO LSS-2-6 Round Clear Plastic 13 1/2"" Fruit Roll Sheets, Food Dehydrators, White
Brand: Nesco
Category: Amazon Home
Description: ['[]']","Title: NESCO LM-2-6 Round Plastic Mesh 13 1/2"" Clean-A-Screens, for Dehydrators, (Pack of 2)
Brand: Nesco
Category: Amazon Home
Description: ['[\'Product Description\'\n ""The NESCO LM-2-6 Snackmaster 12-3/4-inch Clean-A-Screens can be inserted into the trays of Nesco American Harvest\'s FD-28JX, FD-35, FD-37, FD-39, FD-40, FD-50, FD-60, FD-61, FD-75A, FD-75PR food dehydrators (not compatible with other brand dehydrators) to prevent foods",5,complementary,1.0,1.0,0.0,0.0,-0.0,3,0.0124187320470809,0.0123993940651416,188,co_purchase
