,parent_asin
0,1449410243
1,B000001OM5
2,B00000DMF5
3,B00000J1SC
4,B00000K2YR
5,B00002EQCS
6,B00002EQCW
7,B00002N5ZB
8,B00002N8CZ
9,B00004OCIP
10,B00004OCJK
11,B00004OCJN
12,B00004OCJQ
13,B00004OCKT
14,B00004OCNU
15,B00004OCO4
16,B00004OCO6
17,B00004OCO9
18,B00004S1B8
19,B00004SGFP
20,B00004SY4H
21,B00004SZ6Q
22,B00004SZ7H
23,B00004TBLW
24,B00004UE7C
25,B00004UE7U
26,B00004W4UR
27,B00004W4V8
28,B00004W4V9
29,B00004X13D
30,B00004XSC0
31,B00004Z5D1
32,B00004Z5M1
33,B00004Z5PY
34,B00004Z6TW
35,B00004ZCI3
36,B00004ZCJF
37,B00004ZCJJ
38,B000050H5N
39,B00005CDPH
40,B00005IBXJ
41,B00005IBXK
42,B00005KB37
43,B00005MF97
44,B00005MF9C
45,B00005N9D3
46,B00005NIMJ
47,B00005OTXU
48,B00005OTXY
49,B00005QB5U
50,B00005QFL0
51,B00005T3EY
52,B000063SI0
53,B0000645RH
54,B000065BP9
55,B000065DK8
56,B000065UQA
57,B0000668YX
58,B000067RC1
59,B000068O40
60,B00006B82A
61,B00006B8K2
62,B00006BBAC
63,B00006CJLM
64,B00006HVLW
65,B00006I5J7
66,B00006IUVD
67,B00006IUWC
68,B00006IUWM
69,B00006IV0R
70,B00006JN3G
71,B00006JPE1
72,B00006JPEA
73,B00006JQ06
74,B00006JQ7D
75,B00006JSUA
76,B00007056H
77,B00007E7C8
78,B00007E7K1
79,B00007FGU7
80,B00007KDVI
81,B00007KDX6
82,B00007M1TZ
83,B000083JZ0
84,B00008CM69
85,B00008CM6B
86,B00008NJEP
87,B00008XET9
88,B000095RBQ
89,B000095RC5
90,B00009OY9U
91,B00009W3FR
92,B00009W3G7
93,B0000A1ZMS
94,B0000AHO92
95,B0000AI0N1
96,B0000BYC4B
97,B0000BYCFU
98,B0000BYDKO
99,B0000BYEQS
100,B0000CCQKV
101,B0000CDVD7
102,B0000CF3UW
103,B0000CF8Q6
104,B0000CFB4N
105,B0000CFMZN
106,B0000CFMZP
107,B0000CFNE3
108,B0000CFP0F
